time,cpu_pct,mem_avail_mb
21:45:51,47.5,7608
21:46:19,46.4,7512
21:46:46,50.9,6156
21:47:14,45.4,7804
21:47:41,54.9,4747
21:48:09,41.4,6351
21:48:36,42.9,7170
21:49:04,42.5,7425
21:49:31,32.2,4322
21:49:58,38.3,7900
21:50:26,39.5,7019
21:50:53,37.1,7631
21:51:21,38.8,8897
21:51:48,45.3,6853
21:52:15,45.1,5439
21:52:43,37.0,7337
21:53:10,45.0,7527
21:53:38,41.4,7094
21:54:05,49.2,8682
21:54:33,45.0,7152
21:55:00,48.6,4772
21:55:28,46.2,7660
21:55:55,43.4,8454
21:56:22,48.0,9015
21:56:50,46.8,9820
21:57:17,42.9,6577
